id;regime;year;lat;lon;TOTAL_SOIL_c;NBP_pool_c;NPP;HARVEST_FOREST_c;TOTAL_BM_LITTER_c;AREA
34.5_-0.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
34.5_-0.5;BAU;2050;34.5;-0.5;1194.485595703125;2.5610025211619813e-10;1.8177435398101807;209477200.0;0.0065632713958621025;1
34.5_-0.5;BAUnDIACUT;2050;34.5;-0.5;1197.413330078125;9.067250283933959e-10;1.8782575130462646;743687104.0;0.022201556712388992;1
34.5_-0.5;BAUpDIACUT;2050;34.5;-0.5;1181.9390869140625;-2.484194183693944e-08;1.691633701324463;17485826048.0;0.22060421109199524;1
34.5_-0.5;BAUpTHININT;2050;34.5;-0.5;1191.685791015625;8.690340114192452e-10;1.8634958267211914;484565536.0;0.010103540495038033;1
34.5_-0.5;BAUnTHININT;2050;34.5;-0.5;1204.518798828125;7.467109153225238e-10;1.880793571472168;578294464.0;0.017094336450099945;1
34.5_-0.5;BAUppRESIDUAL;2050;34.5;-0.5;1179.3175048828125;5.492087895575537e-10;1.8190187215805054;480106592.0;0.008161777630448341;1
34.5_-0.5;BAUpRESIDUAL;2050;34.5;-0.5;1186.7166748046875;8.350027336234689e-10;1.8431882858276367;775421056.0;0.01518200896680355;1
34.5_-0.5;BAUpN;2050;34.5;-0.5;1200.4493408203125;-1.4463386044383242e-09;1.9063775539398193;2729144576.0;0.04854198545217514;1
34.5_-1.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
34.5_-1.5;BAU;2050;34.5;-1.5;1841.83203125;-8.26099011419501e-09;2.940100908279419;5785845248.0;0.07713767886161804;1
34.5_-1.5;BAUnDIACUT;2050;34.5;-1.5;1828.032958984375;-9.409536261273388e-09;2.9438743591308594;6071585792.0;0.06821870058774948;1
34.5_-1.5;BAUpDIACUT;2050;34.5;-1.5;1853.963134765625;-1.2824618700335577e-08;2.8778786659240723;7219222528.0;0.09509709477424622;1
34.5_-1.5;BAUpTHININT;2050;34.5;-1.5;1840.1146240234375;-2.1696071605958878e-09;2.9945318698883057;3314639872.0;0.042755432426929474;1
34.5_-1.5;BAUnTHININT;2050;34.5;-1.5;1835.1474609375;-7.074320684807844e-09;2.9696738719940186;6621417984.0;0.0799669548869133;1
34.5_-1.5;BAUppRESIDUAL;2050;34.5;-1.5;1834.066650390625;-7.601079765606755e-09;2.9689087867736816;7878144512.0;0.0718727558851242;1
34.5_-1.5;BAUpRESIDUAL;2050;34.5;-1.5;1828.327880859375;-1.0322077415025888e-08;2.975515842437744;7958413824.0;0.0705714076757431;1
34.5_-1.5;BAUpN;2050;34.5;-1.5;1853.990234375;-1.8845458527039227e-10;2.928581476211548;1184027648.0;0.026597389951348305;1
34.5_-2.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
34.5_-2.5;BAU;2050;34.5;-2.5;2674.82373046875;-4.0636805032079337e-10;4.023777008056641;1414762624.0;0.03208019956946373;1
34.5_-2.5;BAUnDIACUT;2050;34.5;-2.5;2614.329345703125;-5.433704153290364e-09;3.9032504558563232;4630441984.0;0.1050214022397995;1
34.5_-2.5;BAUpDIACUT;2050;34.5;-2.5;2569.240478515625;-3.4818523619861708e-09;4.315291881561279;4192827648.0;0.13877974450588226;1
34.5_-2.5;BAUpTHININT;2050;34.5;-2.5;2620.1572265625;-3.6482483700694956e-09;3.9650049209594727;4180674048.0;0.07326176762580872;1
34.5_-2.5;BAUnTHININT;2050;34.5;-2.5;2700.39111328125;-2.8612917590820075e-10;3.9924826622009277;1004295616.0;0.03085567057132721;1
34.5_-2.5;BAUppRESIDUAL;2050;34.5;-2.5;2694.651123046875;7.517608757723337e-11;4.110276699066162;1118932992.0;0.02622821554541588;1
34.5_-2.5;BAUpRESIDUAL;2050;34.5;-2.5;2679.593994140625;-4.384635987619845e-10;4.0992207527160645;1585380736.0;0.04201116785407066;1
34.5_-2.5;BAUpN;2050;34.5;-2.5;2673.162841796875;1.082182121692199e-09;4.027190685272217;158629664.0;0.016899818554520607;1
34.5_-3.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
34.5_-3.5;BAU;2050;34.5;-3.5;2384.588623046875;8.229037451457089e-10;5.05696439743042;516233984.0;0.02200603298842907;1
34.5_-3.5;BAUnDIACUT;2050;34.5;-3.5;2355.234619140625;2.7595841167737944e-09;4.961366653442383;0.0;0.0034170032013207674;1
34.5_-3.5;BAUpDIACUT;2050;34.5;-3.5;2344.23974609375;3.036703555281406e-09;5.208468437194824;9543605.0;0.014644859358668327;1
34.5_-3.5;BAUpTHININT;2050;34.5;-3.5;2386.872802734375;1.7522286954729793e-09;5.129322052001953;229639328.0;0.012623901478946209;1
34.5_-3.5;BAUnTHININT;2050;34.5;-3.5;2375.08056640625;3.6796674041106314e-10;4.962255477905273;608555392.0;0.02315520867705345;1
34.5_-3.5;BAUppRESIDUAL;2050;34.5;-3.5;2350.529541015625;1.0207793499361628e-09;5.041445255279541;546989056.0;0.021448621526360512;1
34.5_-3.5;BAUpRESIDUAL;2050;34.5;-3.5;2356.427978515625;2.0355579444242267e-09;5.014535903930664;173689568.0;0.009585701860487461;1
34.5_-3.5;BAUpN;2050;34.5;-3.5;2387.896240234375;-2.0755608343137055e-10;5.064484596252441;558279872.0;0.021672917529940605;1
34.5_-4.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
34.5_-4.5;BAU;2050;34.5;-4.5;3920.91552734375;-1.092068657726486e-08;4.755598545074463;13369067520.0;0.06888209283351898;1
34.5_-4.5;BAUnDIACUT;2050;34.5;-4.5;3917.725830078125;-1.6553867610014095e-08;4.753934383392334;17012723712.0;0.09858491271734238;1
34.5_-4.5;BAUpDIACUT;2050;34.5;-4.5;3930.0234375;1.0272185768656072e-08;4.843797206878662;273443808.0;0.01162752602249384;1
